bin_number,bin_length,cartes_bancaires_network,active_merchant_network,bin_to_store_in_active_merchant
513614305,9,"MASTER, CARTE_BANCAIRE",master,513614
513614609,9,"MASTER, CARTE_BANCAIRE",master,513614
513614605,9,"MASTER, CARTE_BANCAIRE",master,513614
483733839,9,"VISA, CARTE_BANCAIRE",visa,483733
483733219,9,"VISA, CARTE_BANCAIRE",visa,483733
513614703,9,"MASTER, CARTE_BANCAIRE",master,513614
483733887,9,"VISA, CARTE_BANCAIRE",visa,483733
483733238,9,"VISA, CARTE_BANCAIRE",visa,483733
513614700,9,"MASTER, CARTE_BANCAIRE",master,513614
513724114,9,"MASTER, CARTE_BANCAIRE",master,513724
497990299,9,"VISA, CARTE_BANCAIRE",visa,497990
497988089,9,"VISA, CARTE_BANCAIRE",visa,497988
513513666,9,"MASTER, CARTE_BANCAIRE",master,513513
529313024,9,"MASTER, CARTE_BANCAIRE",master,529313
529314010,9,"MASTER, CARTE_BANCAIRE",master,529314
529314022,9,"MASTER, CARTE_BANCAIRE",master,529314
529313022,9,"MASTER, CARTE_BANCAIRE",master,529313
529314018,9,"MASTER, CARTE_BANCAIRE",master,529314
529313015,9,"MASTER, CARTE_BANCAIRE",master,529313
516207023,9,"MASTER, CARTE_BANCAIRE",master,516207
529314011,9,"MASTER, CARTE_BANCAIRE",master,529314
532347004,9,"MASTER, CARTE_BANCAIRE",master,532347
497427448,9,"VISA, CARTE_BANCAIRE",visa,497427
516207021,9,"MASTER, CARTE_BANCAIRE",master,516207
532347006,9,"MASTER, CARTE_BANCAIRE",master,532347
497422756,9,"VISA, CARTE_BANCAIRE",visa,497422
497437836,9,"VISA, CARTE_BANCAIRE",visa,497437
529313017,9,"MASTER, CARTE_BANCAIRE",master,529313
497427402,9,"VISA, CARTE_BANCAIRE",visa,497427
497848105,9,"VISA, CARTE_BANCAIRE",visa,497848
497427434,9,"VISA, CARTE_BANCAIRE",visa,497427
497427436,9,"VISA, CARTE_BANCAIRE",visa,497427
497422735,9,"VISA, CARTE_BANCAIRE",visa,497422
497946497,9,"VISA, CARTE_BANCAIRE",visa,497946
497848100,9,"VISA, CARTE_BANCAIRE",visa,497848
497424809,9,"VISA, CARTE_BANCAIRE",visa,497424
497848109,9,"VISA, CARTE_BANCAIRE",visa,497848
497427487,9,"VISA, CARTE_BANCAIRE",visa,497427
497838100,9,"VISA, CARTE_BANCAIRE",visa,497838
497422739,9,"VISA, CARTE_BANCAIRE",visa,497422
497422768,9,"VISA, CARTE_BANCAIRE",visa,497422
497422708,9,"VISA, CARTE_BANCAIRE",visa,497422
497422766,9,"VISA, CARTE_BANCAIRE",visa,497422
532347007,9,"MASTER, CARTE_BANCAIRE",master,532347
497422748,9,"VISA, CARTE_BANCAIRE",visa,497422
497422767,9,"VISA, CARTE_BANCAIRE",visa,497422
497424852,9,"VISA, CARTE_BANCAIRE",visa,497424
513642432,9,"MASTER, CARTE_BANCAIRE",master,513642
497940986,9,"VISA, CARTE_BANCAIRE",visa,497940
497424848,9,"VISA, CARTE_BANCAIRE",visa,497424
497424866,9,"VISA, CARTE_BANCAIRE",visa,497424
448414867,9,"VISA, CARTE_BANCAIRE",visa,448414
513277004,9,"MASTER, CARTE_BANCAIRE",master,513277
456299008,9,"VISA, CARTE_BANCAIRE",visa,456299
456299001,9,"VISA, CARTE_BANCAIRE",visa,456299
497940983,9,"VISA, CARTE_BANCAIRE",visa,497940
497699995,9,"VISA, CARTE_BANCAIRE",visa,497699
497940984,9,"VISA, CARTE_BANCAIRE",visa,497940
456299106,9,"VISA, CARTE_BANCAIRE",visa,456299
497940980,9,"VISA, CARTE_BANCAIRE",visa,497940
497940987,9,"VISA, CARTE_BANCAIRE",visa,497940
456299101,9,"VISA, CARTE_BANCAIRE",visa,456299
456299002,9,"VISA, CARTE_BANCAIRE",visa,456299
497940988,9,"VISA, CARTE_BANCAIRE",visa,497940
513250103,9,"MASTER, CARTE_BANCAIRE",master,513250
497940981,9,"VISA, CARTE_BANCAIRE",visa,497940
456299003,9,"VISA, CARTE_BANCAIRE",visa,456299
497699992,9,"VISA, CARTE_BANCAIRE",visa,497699
497699991,9,"VISA, CARTE_BANCAIRE",visa,497699
497699997,9,"VISA, CARTE_BANCAIRE",visa,497699
497424846,9,"VISA, CARTE_BANCAIRE",visa,497424
497424878,9,"VISA, CARTE_BANCAIRE",visa,497424
497424857,9,"VISA, CARTE_BANCAIRE",visa,497424
497424835,9,"VISA, CARTE_BANCAIRE",visa,497424
497422734,9,"VISA, CARTE_BANCAIRE",visa,497422
497422738,9,"VISA, CARTE_BANCAIRE",visa,497422
497422719,9,"VISA, CARTE_BANCAIRE",visa,497422
497946495,9,"VISA, CARTE_BANCAIRE",visa,497946
497699996,9,"VISA, CARTE_BANCAIRE",visa,497699
497422752,9,"VISA, CARTE_BANCAIRE",visa,497422
513642413,9,"MASTER, CARTE_BANCAIRE",master,513642
513642435,9,"MASTER, CARTE_BANCAIRE",master,513642
497427466,9,"VISA, CARTE_BANCAIRE",visa,497427
497424868,9,"VISA, CARTE_BANCAIRE",visa,497424
497424847,9,"VISA, CARTE_BANCAIRE",visa,497424
497946491,9,"VISA, CARTE_BANCAIRE",visa,497946
497424838,9,"VISA, CARTE_BANCAIRE",visa,497424
497427467,9,"VISA, CARTE_BANCAIRE",visa,497427
456299110,9,"VISA, CARTE_BANCAIRE",visa,456299
497422757,9,"VISA, CARTE_BANCAIRE",visa,497422
497427446,9,"VISA, CARTE_BANCAIRE",visa,497427
497422737,9,"VISA, CARTE_BANCAIRE",visa,497422
497946490,9,"VISA, CARTE_BANCAIRE",visa,497946
497427452,9,"VISA, CARTE_BANCAIRE",visa,497427
497427437,9,"VISA, CARTE_BANCAIRE",visa,497427
497515601,9,"VISA, CARTE_BANCAIRE",visa,497515
513513639,9,"MASTER, CARTE_BANCAIRE",master,513513
497427457,9,"VISA, CARTE_BANCAIRE",visa,497427
497427435,9,"VISA, CARTE_BANCAIRE",visa,497427
497796002,9,"VISA, CARTE_BANCAIRE",visa,497796
497796001,9,"VISA, CARTE_BANCAIRE",visa,497796
513539838,9,"MASTER, CARTE_BANCAIRE",master,513539
532347071,9,"MASTER, CARTE_BANCAIRE",master,532347
513539819,9,"MASTER, CARTE_BANCAIRE",master,513539
497990989,9,"VISA, CARTE_BANCAIRE",visa,497990
513539809,9,"MASTER, CARTE_BANCAIRE",master,513539
513539802,9,"MASTER, CARTE_BANCAIRE",master,513539
497839100,9,"VISA, CARTE_BANCAIRE",visa,497839
497848107,9,"VISA, CARTE_BANCAIRE",visa,497848
532347076,9,"MASTER, CARTE_BANCAIRE",master,532347
532347008,9,"MASTER, CARTE_BANCAIRE",master,532347
532347001,9,"MASTER, CARTE_BANCAIRE",master,532347
497805100,9,"VISA, CARTE_BANCAIRE",visa,497805
497988009,9,"VISA, CARTE_BANCAIRE",visa,497988
513724180,9,"MASTER, CARTE_BANCAIRE",master,513724
497990609,9,"VISA, CARTE_BANCAIRE",visa,497990
497302977,9,CARTE_BANCAIRE,visa,497302
513724182,9,"MASTER, CARTE_BANCAIRE",master,513724
497823100,9,"VISA, CARTE_BANCAIRE",visa,497823
497301973,9,"VISA, CARTE_BANCAIRE",visa,497301
497848104,9,"VISA, CARTE_BANCAIRE",visa,497848
529314012,9,"MASTER, CARTE_BANCAIRE",master,529314
516207022,9,"MASTER, CARTE_BANCAIRE",master,516207
529314021,9,"MASTER, CARTE_BANCAIRE",master,529314
497515501,9,CARTE_BANCAIRE,visa,497515
529313021,9,"MASTER, CARTE_BANCAIRE",master,529313
513277007,9,"MASTER, CARTE_BANCAIRE",master,513277
483733868,9,"VISA, CARTE_BANCAIRE",visa,483733
483733838,9,"VISA, CARTE_BANCAIRE",visa,483733
513513687,9,"MASTER, CARTE_BANCAIRE",master,513513
483733802,9,"VISA, CARTE_BANCAIRE",visa,483733
483733246,9,"VISA, CARTE_BANCAIRE",visa,483733
513614705,9,"MASTER, CARTE_BANCAIRE",master,513614
513513678,9,"MASTER, CARTE_BANCAIRE",master,513513
513513608,9,"MASTER, CARTE_BANCAIRE",master,513513
529542011,9,"MASTER, CARTE_BANCAIRE",master,529542
529542032,9,"MASTER, CARTE_BANCAIRE",master,529542
497301971,9,"VISA, CARTE_BANCAIRE",visa,497301
497301978,9,"VISA, CARTE_BANCAIRE",visa,497301
483733808,9,"VISA, CARTE_BANCAIRE",visa,483733
513513619,9,"MASTER, CARTE_BANCAIRE",master,513513
483733266,9,"VISA, CARTE_BANCAIRE",visa,483733
483733856,9,"VISA, CARTE_BANCAIRE",visa,483733
513614308,9,"MASTER, CARTE_BANCAIRE",master,513614
483733846,9,"VISA, CARTE_BANCAIRE",visa,483733
483733866,9,"VISA, CARTE_BANCAIRE",visa,483733
483733209,9,"VISA, CARTE_BANCAIRE",visa,483733
513614606,9,"MASTER, CARTE_BANCAIRE",master,513614
497848103,9,"VISA, CARTE_BANCAIRE",visa,497848
497848101,9,"VISA, CARTE_BANCAIRE",visa,497848
513614641,9,"MASTER, CARTE_BANCAIRE",master,513614
497848102,9,"VISA, CARTE_BANCAIRE",visa,497848
513614701,9,"MASTER, CARTE_BANCAIRE",master,513614
529314013,9,"MASTER, CARTE_BANCAIRE",master,529314
529314020,9,"MASTER, CARTE_BANCAIRE",master,529314
516207025,9,"MASTER, CARTE_BANCAIRE",master,516207
516207020,9,"MASTER, CARTE_BANCAIRE",master,516207
529313027,9,"MASTER, CARTE_BANCAIRE",master,529313
513539839,9,"MASTER, CARTE_BANCAIRE",master,513539
497796004,9,"VISA, CARTE_BANCAIRE",visa,497796
513614306,9,"MASTER, CARTE_BANCAIRE",master,513614
497302974,9,CARTE_BANCAIRE,visa,497302
513539878,9,"MASTER, CARTE_BANCAIRE",master,513539
497807100,9,"VISA, CARTE_BANCAIRE",visa,497807
529542012,9,"MASTER, CARTE_BANCAIRE",master,529542
529314027,9,"MASTER, CARTE_BANCAIRE",master,529314
529314014,9,"MASTER, CARTE_BANCAIRE",master,529314
529313016,9,"MASTER, CARTE_BANCAIRE",master,529313
529313020,9,"MASTER, CARTE_BANCAIRE",master,529313
497813100,9,"VISA, CARTE_BANCAIRE",visa,497813
497339299,9,"VISA, CARTE_BANCAIRE",visa,497339
529314025,9,"MASTER, CARTE_BANCAIRE",master,529314
497302973,9,CARTE_BANCAIRE,visa,497302
497575313,9,"VISA, CARTE_BANCAIRE",visa,497575
497301974,9,"VISA, CARTE_BANCAIRE",visa,497301
497301976,9,"VISA, CARTE_BANCAIRE",visa,497301
497575344,9,"VISA, CARTE_BANCAIRE",visa,497575
497575339,9,"VISA, CARTE_BANCAIRE",visa,497575
497575468,9,"VISA, CARTE_BANCAIRE",visa,497575
497575452,9,"VISA, CARTE_BANCAIRE",visa,497575
497575448,9,"VISA, CARTE_BANCAIRE",visa,497575
497575487,9,"VISA, CARTE_BANCAIRE",visa,497575
513642419,9,"MASTER, CARTE_BANCAIRE",master,513642
513642430,9,"MASTER, CARTE_BANCAIRE",master,513642
513642433,9,"MASTER, CARTE_BANCAIRE",master,513642
513642418,9,"MASTER, CARTE_BANCAIRE",master,513642
513642439,9,"MASTER, CARTE_BANCAIRE",master,513642
483733867,9,"VISA, CARTE_BANCAIRE",visa,483733
513614304,9,"MASTER, CARTE_BANCAIRE",master,513614
513614709,9,"MASTER, CARTE_BANCAIRE",master,513614
497575304,9,"VISA, CARTE_BANCAIRE",visa,497575
497575300,9,"VISA, CARTE_BANCAIRE",visa,497575
497575400,9,"VISA, CARTE_BANCAIRE",visa,497575
497575408,9,"VISA, CARTE_BANCAIRE",visa,497575
497575308,9,"VISA, CARTE_BANCAIRE",visa,497575
497575319,9,"VISA, CARTE_BANCAIRE",visa,497575
497575465,9,"VISA, CARTE_BANCAIRE",visa,497575
497575467,9,"VISA, CARTE_BANCAIRE",visa,497575
497575486,9,"VISA, CARTE_BANCAIRE",visa,497575
497575480,9,"VISA, CARTE_BANCAIRE",visa,497575
497940985,9,"VISA, CARTE_BANCAIRE",visa,497940
497575342,9,"VISA, CARTE_BANCAIRE",visa,497575
497575357,9,"VISA, CARTE_BANCAIRE",visa,497575
497575419,9,"VISA, CARTE_BANCAIRE",visa,497575
497575365,9,"VISA, CARTE_BANCAIRE",visa,497575
497575361,9,"VISA, CARTE_BANCAIRE",visa,497575
497575317,9,"VISA, CARTE_BANCAIRE",visa,497575
497575380,9,"VISA, CARTE_BANCAIRE",visa,497575
497424802,9,"VISA, CARTE_BANCAIRE",visa,497424
497427447,9,"VISA, CARTE_BANCAIRE",visa,497427
455670008,9,"VISA, CARTE_BANCAIRE",visa,455670
513614643,9,"MASTER, CARTE_BANCAIRE",master,513614
513513602,9,"MASTER, CARTE_BANCAIRE",master,513513
497843100,9,"VISA, CARTE_BANCAIRE",visa,497843
455670012,9,"VISA, CARTE_BANCAIRE",visa,455670
513614307,9,"MASTER, CARTE_BANCAIRE",master,513614
513513647,9,"MASTER, CARTE_BANCAIRE",master,513513
455670170,9,"VISA, CARTE_BANCAIRE",visa,455670
513614300,9,"MASTER, CARTE_BANCAIRE",master,513614
477182988,9,"VISA, CARTE_BANCAIRE",visa,477182
477182974,9,"VISA, CARTE_BANCAIRE",visa,477182
477182984,9,"VISA, CARTE_BANCAIRE",visa,477182
477182952,9,"VISA, CARTE_BANCAIRE",visa,477182
497796005,9,"VISA, CARTE_BANCAIRE",visa,497796
513539887,9,"MASTER, CARTE_BANCAIRE",master,513539
455670003,9,"VISA, CARTE_BANCAIRE",visa,455670
